Exp,Site,Lane,Absolute_peak,Percentage_of_total,guide,dRNA,substrate,addition_order
1,FANCFg2 ON,1,25762.279,46.024,0,0,150,
1,FANCFg2 ON,2,3333.134,5.955,150,0,150,
1,FANCFg2 ON,3,8103.974,14.478,150,50,150,
1,FANCFg2 ON,4,6232.782,11.135,150,150,150,
1,FANCFg2 ON,5,6660.61,11.899,150,450,150,
1,FANCFg2 ON,6,1036.234,1.851,450,0,150,
1,FANCFg2 ON,7,2879.69,5.145,450,150,150,
1,FANCFg2 ON,8,242.364,0.433,450,450,150,
1,FANCFg2 ON,9,1724.548,3.081,450,1350,150,
1,FANCFg2 OT1,1,20392.3,16.672,0,0,150,
1,FANCFg2 OT1,2,9333.066,7.63,150,0,150,
1,FANCFg2 OT1,3,12537.673,10.251,150,50,150,
1,FANCFg2 OT1,4,14114.744,11.54,150,150,150,
1,FANCFg2 OT1,5,18390.108,15.035,150,450,150,
1,FANCFg2 OT1,6,3487.205,2.851,450,0,150,
1,FANCFg2 OT1,7,11705.652,9.57,450,150,150,
1,FANCFg2 OT1,8,14696.359,12.015,450,450,150,
1,FANCFg2 OT1,9,17655.551,14.435,450,1350,150,
2,FANCFg2 ON,1,5928.962,26.585,0,0,150,
2,FANCFg2 ON,2,786.113,3.525,150,0,150,
2,FANCFg2 ON,3,1036.648,4.648,150,50,150,
2,FANCFg2 ON,4,1181.355,5.297,150,150,150,
2,FANCFg2 ON,5,2162.598,9.697,150,450,150,
2,FANCFg2 ON,6,70.536,0.316,450,0,150,
2,FANCFg2 ON,7,54.121,0.243,450,150,150,
2,FANCFg2 ON,8,319.849,1.434,450,450,150,
2,FANCFg2 ON,9,111.778,0.501,450,1350,150,
2,FANCFg2 ON,10,6973.305,31.268,0,150,150,
2,FANCFg2 ON,11,6.121,0.027,450,450,150,GD
2,FANCFg2 ON,12,3670.134,16.457,450,450,150,DG
2,FANCFg2 OT1,1,5719.154,13.014,0,0,150,
2,FANCFg2 OT1,2,3962.326,9.017,150,0,150,
2,FANCFg2 OT1,3,4078.326,9.281,150,50,150,
2,FANCFg2 OT1,4,5064.569,11.525,150,150,150,
2,FANCFg2 OT1,5,5733.69,13.047,150,450,150,
2,FANCFg2 OT1,6,355.092,0.808,450,0,150,
2,FANCFg2 OT1,7,4215.497,9.593,450,150,150,
2,FANCFg2 OT1,8,5805.447,13.211,450,450,150,
2,FANCFg2 OT1,9,4351.912,9.903,450,1350,150,
2,FANCFg2 OT1,10,2404.255,5.471,0,150,150,
2,FANCFg2 OT1,11,163.778,0.373,450,450,150,GD
2,FANCFg2 OT1,12,2090.841,4.758,450,450,150,DG
3,FANCFg2 ON,1,7439.347,26.066,0,0,150,
3,FANCFg2 ON,2,1018.983,3.57,150,0,150,
3,FANCFg2 ON,3,1301.305,4.56,150,50,150,
3,FANCFg2 ON,4,1977.376,6.928,150,150,150,
3,FANCFg2 ON,5,3271.912,11.464,150,450,150,
3,FANCFg2 ON,6,38.121,0.134,450,0,150,
3,FANCFg2 ON,7,41.536,0.146,450,150,150,
3,FANCFg2 ON,8,80.364,0.282,450,450,150,
3,FANCFg2 ON,9,121.778,0.427,450,1350,150,
3,FANCFg2 ON,10,11284.811,39.54,0,150,150,
3,FANCFg2 ON,11,6.121,0.021,450,450,150,GD
3,FANCFg2 ON,12,1958.841,6.863,450,450,150,DG
3,FANCFg2 OT1,1,8323.761,13.226,0,0,150,
3,FANCFg2 OT1,2,5664.983,9.002,150,0,150,
3,FANCFg2 OT1,3,6139.347,9.755,150,50,150,
3,FANCFg2 OT1,4,7742.761,12.303,150,150,150,
3,FANCFg2 OT1,5,8944.175,14.212,150,450,150,
3,FANCFg2 OT1,6,396.263,0.63,450,0,150,
3,FANCFg2 OT1,7,6319.154,10.041,450,150,150,
3,FANCFg2 OT1,8,7543.933,11.987,450,450,150,
3,FANCFg2 OT1,9,5511.619,8.758,450,1350,150,
3,FANCFg2 OT1,10,4152.397,6.598,0,150,150,
3,FANCFg2 OT1,11,127.778,0.203,450,450,150,GD
3,FANCFg2 OT1,12,2067.134,3.285,450,450,150,DG