Exp,Site,Lane,Peak_1,Peak_2,Peak_3,guide,dRNA,substrate,addition_order
1,FANCFg2 ON,1,14152.995,0,0,0,0,150,
1,FANCFg2 ON,2,1145.234,5951.983,1914.841,150,0,150,
1,FANCFg2 ON,3,3484.255,4149.619,1170.891,150,50,150,
1,FANCFg2 ON,4,2369.012,5074.64,1262.77,150,150,150,
1,FANCFg2 ON,5,3004.255,5844.276,1756.376,150,450,150,
1,FANCFg2 ON,6,461.042,7177.347,1983.497,450,0,150,
1,FANCFg2 ON,7,1095.991,6938.761,1902.619,450,150,150,
1,FANCFg2 ON,8,115.778,7238.104,2585.69,450,450,150,
1,FANCFg2 ON,9,726.577,7370.64,3705.154,450,1350,150,
1,FANCFg2 OT1,1,12053.953,0,0,0,0,150,
1,FANCFg2 OT1,2,6236.589,2504.79,1939.548,150,0,150,
1,FANCFg2 OT1,3,7783.882,1312.062,1369.062,150,50,150,
1,FANCFg2 OT1,4,8389.296,1268.527,2224.083,150,150,150,
1,FANCFg2 OT1,5,11478.368,1627.184,2529.205,150,450,150,
1,FANCFg2 OT1,6,2771.205,7597.317,5308.246,450,0,150,
1,FANCFg2 OT1,7,7470.468,4481.589,4394.004,450,150,150,
1,FANCFg2 OT1,8,9531.468,5023.66,4372.125,450,450,150,
1,FANCFg2 OT1,9,10815.175,5871.832,7995.853,450,1350,150,
2,FANCFg2 ON,1,7202.761,0,0,0,0,150,
2,FANCFg2 ON,2,815.234,2752.255,1567.255,150,0,150,
2,FANCFg2 ON,3,842.113,3049.79,1469.719,150,50,150,
2,FANCFg2 ON,4,1072.941,3024.376,1964.74,150,150,150,
2,FANCFg2 ON,5,2237.719,2296.305,1886.79,150,450,150,
2,FANCFg2 ON,6,89.536,2833.426,2946.397,450,0,150,
2,FANCFg2 ON,7,140.95,2843.719,3175.518,450,150,150,
2,FANCFg2 ON,8,311.849,2587.891,3689.004,450,450,150,
2,FANCFg2 ON,9,200.192,2409.891,4424.296,450,1350,150,
2,FANCFg2 ON,10,6969.74,102.778,97.536,0,150,150,
2,FANCFg2 ON,11,6.121,2652.598,1624.841,450,450,150,GD
2,FANCFg2 ON,12,3645.033,781.87,1588.841,450,450,150,DG
2,FANCFg2 OT1,1,5993.64,0,0,0,0,150,
2,FANCFg2 OT1,2,3894.276,1053.87,226.607,150,0,150,
2,FANCFg2 OT1,3,3922.447,1537.648,483.021,150,50,150,
2,FANCFg2 OT1,4,4920.397,1008.991,421.021,150,150,150,
2,FANCFg2 OT1,5,5559.518,1247.062,1216.406,150,450,150,
2,FANCFg2 OT1,6,371.678,6871.853,2005.598,450,0,150,
2,FANCFg2 OT1,7,3966.497,2985.054,1214.234,450,150,150,
2,FANCFg2 OT1,8,5292.033,3169.69,2253.326,450,450,150,
2,FANCFg2 OT1,9,4065.912,4391.004,4318.711,450,1350,150,
2,FANCFg2 OT1,10,2631.326,189.192,131.778,0,150,150,
2,FANCFg2 OT1,11,78.95,4925.418,725.678,450,450,150,GD
2,FANCFg2 OT1,12,2280.083,1903.497,701.506,450,450,150,DG
3,FANCFg2 ON,1,8424.953,0,0,0,0,150,
3,FANCFg2 ON,2,1140.477,3494.74,2582.983,150,0,150,
3,FANCFg2 ON,3,1353.305,3937.154,2590.447,150,50,150,
3,FANCFg2 ON,4,1959.376,3962.861,2922.811,150,150,150,
3,FANCFg2 ON,5,3341.205,2967.376,3028.225,150,450,150,
3,FANCFg2 ON,6,41.536,3444.962,4502.418,450,0,150,
3,FANCFg2 ON,7,100.364,4241.205,5170.953,450,150,150,
3,FANCFg2 ON,8,118.364,3538.79,5078.075,450,450,150,
3,FANCFg2 ON,9,135.778,2492.891,6138.903,450,1350,150,
3,FANCFg2 ON,10,11116.175,323.192,405.192,0,150,150,
3,FANCFg2 ON,11,6.121,3209.548,2097.205,450,450,150,GD
3,FANCFg2 ON,12,2286.79,1318.477,1609.234,450,450,150,DG
3,FANCFg2 OT1,1,8773.711,28.536,4.121,0,0,150,
3,FANCFg2 OT1,2,5876.518,827.627,926.971,150,0,150,
3,FANCFg2 OT1,3,5777.225,1144.284,419.021,150,50,150,
3,FANCFg2 OT1,4,7818.175,641.678,1002.749,150,150,150,
3,FANCFg2 OT1,5,9115.125,1332.648,1619.477,150,450,150,
3,FANCFg2 OT1,6,256.021,5630.61,2682.134,450,0,150,
3,FANCFg2 OT1,7,6438.69,2434.74,2255.962,450,150,150,
3,FANCFg2 OT1,8,7506.64,2499.154,2747.69,450,450,150,
3,FANCFg2 OT1,9,5504.033,4643.125,5303.246,450,1350,150,
3,FANCFg2 OT1,10,4419.64,323.678,150.364,0,150,150,
3,FANCFg2 OT1,11,103.364,4487.125,1301.577,450,450,150,GD
3,FANCFg2 OT1,12,2042.841,1812.548,1197.163,450,450,150,DG